participant_id,scenario_code,complexity_class,scenario_index,started_at,completed_at,total_turns,total_elapsed_s,attempt_number,l1_syntax_ok,l1_api_valid,exec_pass_rate,eval_behavioral_match,eval_confidence,eval_code_correct,sandbox_all_pass,evaluator_1,evaluator_2,oracle_consensus,success
user_0034,C2,C3,5,2026-03-24T10:54:07.821198+00:00,2026-03-24T10:54:07.839816+00:00,4,178.64,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0037,S1,C1,0,2026-03-25T08:43:23.579117+00:00,2026-03-25T08:43:23.598061+00:00,4,133.05,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0037,M1,C2,1,2026-03-25T08:51:03.464933+00:00,2026-03-25T08:51:03.481731+00:00,10,259.88,3,1,1,,partially,3,,,correct,correct,matches_completely,correct
user_0037,C1,C3,2,2026-03-25T08:54:29.485985+00:00,2026-03-25T08:54:29.501165+00:00,4,53.25,1,1,1,,matches_completely,4,,,correct,correct,partially,correct
user_0037,S2,C1,3,2026-03-25T09:01:14.882790+00:00,2026-03-25T09:01:14.902275+00:00,8,100.92,2,1,0,,partially,3,,,correct,correct,partially,correct
user_0037,M2,C2,4,2026-03-25T09:02:26.357799+00:00,2026-03-25T09:02:26.374647+00:00,4,70.2,1,1,1,,matches_completely,5,,,correct,correct,partially,correct
user_0037,C2,C3,5,2026-03-25T09:03:52.787677+00:00,2026-03-25T09:03:52.808562+00:00,4,62.98,1,1,1,,matches_completely,5,,,correct,correct,matches_completely,correct
user_0039,S1,C1,0,2026-03-25T08:42:06.443181+00:00,2026-03-25T08:42:06.462601+00:00,9,35.36,2,1,1,,partially,4,,,correct,correct,partially,correct
user_0039,M1,C2,1,2026-03-25T08:43:30.203485+00:00,2026-03-25T08:43:30.316051+00:00,4,20.0,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0039,C1,C3,2,2026-03-25T08:44:50.383690+00:00,2026-03-25T08:44:50.401051+00:00,4,33.86,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0039,S2,C1,3,2026-03-25T08:46:25.761614+00:00,2026-03-25T08:46:25.779869+00:00,4,90.42,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0039,M2,C2,4,2026-03-25T08:48:24.245517+00:00,2026-03-25T08:48:24.263974+00:00,8,102.55,2,1,1,,matches_completely,3,,,correct,correct,partially,correct
user_0039,C2,C3,5,2026-03-25T08:50:24.381066+00:00,2026-03-25T08:50:24.400300+00:00,4,65.28,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
user_0042,S1,C1,0,2026-03-25T08:41:56.806951+00:00,2026-03-25T08:41:56.827338+00:00,4,58.05,1,1,1,,matches_completely,4,,,correct,correct,matches_completely,correct
user_0042,M1,C2,1,2026-03-25T08:56:56.325382+00:00,2026-03-25T08:56:56.352473+00:00,7,606.33,1,1,1,,does_not_match,3,,,incorrect,incorrect,does_not_match,incorrect
user_0042,C1,C3,2,2026-03-25T08:58:11.587272+00:00,2026-03-25T08:58:11.603160+00:00,4,65.98,1,1,1,,matches_completely,3,,,correct,correct,matches_completely,correct
